,image,steering,is_flipped,random_shift,is_shift
0, IMG/left_2016_12_01_13_31_13_786.jpg,0.23,False,0,False
2,IMG/center_2016_12_01_13_31_13_786.jpg,0.0,False,0,False
7, IMG/right_2016_12_01_13_31_14_092.jpg,-0.23,False,0,False
9, IMG/left_2016_12_01_13_32_41_438.jpg,0.23,False,0,False
14,IMG/center_2016_12_01_13_32_42_648.jpg,0.0,False,0,False
15, IMG/left_2016_12_01_13_32_43_457.jpg,0.2917599,False,0,False
16, IMG/right_2016_12_01_13_32_43_457.jpg,-0.1682401,False,0,False
18, IMG/left_2016_12_01_13_32_43_558.jpg,0.28219137,False,0,False
24, IMG/left_2016_12_01_13_32_43_761.jpg,0.5979529,False,0,False
26,IMG/center_2016_12_01_13_32_43_761.jpg,0.3679529,False,0,False
27, IMG/left_2016_12_01_13_32_43_862.jpg,0.8084606,False,0,False
28, IMG/right_2016_12_01_13_32_43_862.jpg,0.3484606,False,0,False
29,IMG/center_2016_12_01_13_32_43_862.jpg,0.5784606,False,0,False
30, IMG/left_2016_12_01_13_32_43_963.jpg,0.8084606,False,0,False
31, IMG/right_2016_12_01_13_32_43_963.jpg,0.3484606,False,0,False
32,IMG/center_2016_12_01_13_32_43_963.jpg,0.5784606,False,0,False
33, IMG/left_2016_12_01_13_32_44_064.jpg,0.3970138,False,0,False
34, IMG/right_2016_12_01_13_32_44_064.jpg,-0.06298620000000002,False,0,False
35,IMG/center_2016_12_01_13_32_44_064.jpg,0.1670138,False,0,False
39, IMG/left_2016_12_01_13_32_45_275.jpg,0.31089697,False,0,False
40, IMG/right_2016_12_01_13_32_45_275.jpg,-0.14910303000000003,False,0,False
41,IMG/center_2016_12_01_13_32_45_275.jpg,0.08089697,False,0,False
43, IMG/right_2016_12_01_13_32_45_377.jpg,-0.1395345,False,0,False
45, IMG/left_2016_12_01_13_32_45_477.jpg,0.3204655,False,0,False
47,IMG/center_2016_12_01_13_32_45_477.jpg,0.09046549999999999,False,0,False
48, IMG/left_2016_12_01_13_32_45_578.jpg,0.38744520000000005,False,0,False
55, IMG/right_2016_12_01_13_32_45_780.jpg,-0.05341770000000001,False,0,False
57, IMG/left_2016_12_01_13_32_46_185.jpg,0.1512541,False,0,False
58, IMG/right_2016_12_01_13_32_46_185.jpg,-0.3087459,False,0,False
63, IMG/left_2016_12_01_13_32_46_385.jpg,0.1512541,False,0,False
64, IMG/right_2016_12_01_13_32_46_385.jpg,-0.3087459,False,0,False
66, IMG/left_2016_12_01_13_32_46_486.jpg,0.1512541,False,0,False
67, IMG/right_2016_12_01_13_32_46_486.jpg,-0.3087459,False,0,False
70, IMG/right_2016_12_01_13_32_46_789.jpg,-0.23,False,0,False
71,IMG/center_2016_12_01_13_32_46_789.jpg,0.0,False,0,False
72, IMG/left_2016_12_01_13_32_46_991.jpg,0.28219137,False,0,False
73, IMG/right_2016_12_01_13_32_46_991.jpg,-0.17780863000000002,False,0,False
74,IMG/center_2016_12_01_13_32_46_991.jpg,0.05219137,False,0,False
77,IMG/center_2016_12_01_13_32_47_091.jpg,0.05219137,False,0,False
78, IMG/left_2016_12_01_13_32_47_192.jpg,0.3204655,False,0,False
79, IMG/right_2016_12_01_13_32_47_192.jpg,-0.1395345,False,0,False
81, IMG/left_2016_12_01_13_32_47_293.jpg,0.61709,False,0,False
82, IMG/right_2016_12_01_13_32_47_293.jpg,0.15708999999999998,False,0,False
83,IMG/center_2016_12_01_13_32_47_293.jpg,0.38709,False,0,False
84, IMG/left_2016_12_01_13_32_47_394.jpg,0.5883844,False,0,False
86,IMG/center_2016_12_01_13_32_47_394.jpg,0.3583844,False,0,False
87, IMG/left_2016_12_01_13_32_47_495.jpg,0.28219137,False,0,False
88, IMG/right_2016_12_01_13_32_47_495.jpg,-0.17780863000000002,False,0,False
90, IMG/left_2016_12_01_13_32_48_098.jpg,0.19872589000000002,False,0,False
91, IMG/right_2016_12_01_13_32_48_098.jpg,-0.26127411,False,0,False
92,IMG/center_2016_12_01_13_32_48_098.jpg,-0.03127411,False,0,False
93, IMG/left_2016_12_01_13_32_48_200.jpg,0.17024281000000002,False,0,False
95,IMG/center_2016_12_01_13_32_48_200.jpg,-0.05975719,False,0,False
96, IMG/left_2016_12_01_13_32_48_302.jpg,0.17024281000000002,False,0,False
109, IMG/right_2016_12_01_13_32_48_705.jpg,-0.28975719,False,0,False
111, IMG/left_2016_12_01_13_32_48_805.jpg,0.17024281000000002,False,0,False
112, IMG/right_2016_12_01_13_32_48_805.jpg,-0.28975719,False,0,False
113,IMG/center_2016_12_01_13_32_48_805.jpg,-0.05975719,False,0,False
114, IMG/left_2016_12_01_13_32_48_906.jpg,0.17024281000000002,False,0,False
115, IMG/right_2016_12_01_13_32_48_906.jpg,-0.28975719,False,0,False
116,IMG/center_2016_12_01_13_32_48_906.jpg,-0.05975719,False,0,False
117, IMG/left_2016_12_01_13_32_49_008.jpg,0.17024281000000002,False,0,False
119,IMG/center_2016_12_01_13_32_49_008.jpg,-0.05975719,False,0,False
121, IMG/right_2016_12_01_13_32_49_109.jpg,-0.28975719,False,0,False
122,IMG/center_2016_12_01_13_32_49_109.jpg,-0.05975719,False,0,False
124, IMG/right_2016_12_01_13_32_49_210.jpg,-0.27076847000000004,False,0,False
126, IMG/left_2016_12_01_13_32_49_514.jpg,0.24391724,False,0,False
127, IMG/right_2016_12_01_13_32_49_514.jpg,-0.21608276,False,0,False
129, IMG/left_2016_12_01_13_32_49_615.jpg,0.24391724,False,0,False
130, IMG/right_2016_12_01_13_32_49_615.jpg,-0.21608276,False,0,False
132, IMG/left_2016_12_01_13_32_49_715.jpg,0.24391724,False,0,False
141, IMG/left_2016_12_01_13_32_51_437.jpg,0.24391724,False,0,False
142, IMG/right_2016_12_01_13_32_51_437.jpg,-0.21608276,False,0,False
143,IMG/center_2016_12_01_13_32_51_437.jpg,0.01391724,False,0,False
